model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,model_alpha,weight_eps,weight_std
45_model,0.009438982289165409,0.0013170802451004636,0.001276009247026237,0.10465984734291271,0.0005475477685814782,0.0,0.019539911148797714,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00034364078868532217,0.007180389990094034,1e-06
181_model,323.5567749143977,549.2047533433557,22016.446418879103,4603494.327268531,218.76327737854285,0.0,771100.3830821743,hydrogen_bromine_ode.csv,hydrogen_bromine,286.52162191429545,3.323668111696107e-07,0.1
155_model,0.04066359035989699,0.6577027910549985,1.3529084554359343,11.700671457360714,0.004849297169819109,0.0,2.292799265230227,hydrogen_bromine_ode.csv,hydrogen_bromine,0.009808669434503627,0.0039522808482593125,0.01
137_model,320.81056351443954,760.8661269070125,21888.995652344303,4579771.3861258365,219.7625311866476,0.0,767160.3034999649,hydrogen_bromine_ode.csv,hydrogen_bromine,147895.6008985279,1.7210347976595495e-05,0.001
93_model,0.008966706722395914,0.0027908025163558385,0.003443949700738297,0.6717397490850071,0.0003211903228083857,0.0,0.11454373305788428,hydrogen_bromine_ode.csv,hydrogen_bromine,2.7039662430093773e-05,1.1263537238115918e-05,0.0001
97_model,0.00969646467328961,0.0012662797482728802,0.0004400058496105847,27.911005676470214,0.0003532287587807367,0.0,4.653793609250028,hydrogen_bromine_ode.csv,hydrogen_bromine,2.8317284209433966e-06,3.301703102308238e-06,0.0001
108_model,0.024786856403116536,0.3008493825270084,0.5423486430950559,5.311211263280972,0.0025446613419732133,0.0,1.0302901344413544,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00011228413129239159,1.2491870327582288e-06,0.0001
116_model,0.02125426147437806,0.23629838680782467,0.39559568970580267,4.038389963241026,0.0020013362454561223,0.0,0.782256606245748,hydrogen_bromine_ode.csv,hydrogen_bromine,8.575795876872198e-05,9.440619113735458e-07,0.0001
78_model,0.02480763410701636,0.30097756629699296,0.5405612971001688,5.301112906879895,0.0025505533318813584,0.0,1.028334992952659,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00011228413129239159,1.2491870327582288e-06,1e-05
72_model,191.45831802744817,913.7074057273687,23257.005654749883,1012797.6362228907,86.54199533724608,0.0,172874.39159945544,hydrogen_bromine_ode.csv,hydrogen_bromine,0.24676368684401048,0.0003338180205189919,1e-05
110_model,0.01574992242879852,0.14897251634561054,0.24097855461221698,3.162600647338435,0.0014846530625636826,0.0,0.5949643822979375,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0015436272481452666,0.0005076315792529729,0.0001
22_model,322.81220054480326,548.0665828220388,21892.347288430094,4579996.232019581,219.66989395752424,0.0,767163.187997556,hydrogen_bromine_ode.csv,hydrogen_bromine,795261.8231250104,0.01586752352583566,0.0
162_model,193.0324003039747,925.2083825906701,23606.36330904549,1032606.9525293054,87.24756794283269,0.0,176236.46736486474,hydrogen_bromine_ode.csv,hydrogen_bromine,0.24676368684401048,0.0003338180205189919,0.01
159_model,323.0465365669919,559.2985821264481,22944.52198058473,4558199.761780854,227.55684880027147,0.0,763709.0309548221,hydrogen_bromine_ode.csv,hydrogen_bromine,2466.160386850043,0.010342237509875594,0.01
205_model,254.7730197265916,1374.0687849636731,39329.306383618066,2007622.0475442987,172.19841253245616,0.0,341458.73235752323,hydrogen_bromine_ode.csv,hydrogen_bromine,6.170375743661441,0.09508538688996053,0.1
147_model,333.3314741248014,622.1333180346326,29073.1229579644,4887412.026853427,258.6432844521649,0.0,819616.5429813339,hydrogen_bromine_ode.csv,hydrogen_bromine,927.8933539638202,0.055548591807154254,0.001
184_model,323.47535572390586,555.1932711609285,22379.508569935882,4605987.504807995,219.86044855629416,0.0,771577.5904088952,hydrogen_bromine_ode.csv,hydrogen_bromine,99.94844112826969,4.995812711851579e-06,0.1
115_model,240.42249803886298,1268.3792514803627,35246.0917500326,1739851.184634359,151.2418539698942,0.0,296126.2199979801,hydrogen_bromine_ode.csv,hydrogen_bromine,6.170375743661441,0.09508538688996053,0.0001
192_model,208.60498435185377,1019.0207030972872,26936.9241241012,1226164.3588683007,105.39078417301081,0.0,209072.383244004,hydrogen_bromine_ode.csv,hydrogen_bromine,0.24676368684401048,0.0003338180205189919,0.1
114_model,323.19634729229944,549.3205169022631,21966.87370256051,4607048.954534344,220.95256884329604,0.0,771684.8829449904,hydrogen_bromine_ode.csv,hydrogen_bromine,202630.7170037328,0.004043336833529763,0.0001
59_model,163.93472010747792,738.068422466228,17858.410727940096,719069.1823617893,60.81309317632404,0.0,122981.7348875799,hydrogen_bromine_ode.csv,hydrogen_bromine,0.05682963421204889,2.621017928780525e-05,1e-06
150_model,265.8910950598459,1461.0750926812066,42823.764895396205,2240156.01895343,189.04991220402007,0.0,380815.9666581286,hydrogen_bromine_ode.csv,hydrogen_bromine,0.7757786350021516,0.0009469378911995572,0.001
63_model,0.008968316993595023,0.0027929664199094397,0.0034409124215312764,0.673616029162583,0.0003212104403182716,0.0,0.11485657257298952,hydrogen_bromine_ode.csv,hydrogen_bromine,2.7039662430093773e-05,1.1263537238115918e-05,1e-05
161_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,0.01
